FIPS,gdp
48001,1988409
48003,4943746
48005,2908393
48007,701313
48009,329973
48011,44698
48013,3713764
48015,1534303
48017,416086
48019,398838
48021,2311239
48023,169015
48025,736410
48027,15997631
48029,99059995
48031,418063
48033,710857
48035,553558
48037,3264393
48039,15108441
48041,10284429
48043,393341
48045,108559
48047,336275
48049,1314620
48051,1355101
48053,1649487
48055,984295
48057,3091920
48059,296324
48061,10741407
48063,356367
48065,1044263
48067,881965
48069,735542
48071,2343913
48073,1379747
48075,223075
48077,246522
48079,418696
48081,234644
48083,229181
48085,71341415
48087,77230
48089,868491
48091,6566927
48093,418044
48095,139977
48097,2144659
48099,1537896
48101,86435
48103,1044081
48105,1187371
48107,329731
48109,2577980
48111,729600
48113,257870247
48115,799174
48117,1488413
48119,100636
48121,37848696
48123,5342460
48125,130778
48127,3810381
48129,147287
48131,385716
48133,797748
48135,11097612
48137,92427
48139,6108972
48141,30648707
48143,1457131
48145,393114
48147,859117
48149,1751625
48151,348454
48153,332592
48155,103704
48157,29083534
48159,433868
48161,1185904
48163,1269251
48165,2845067
48167,15935826
48169,308906
48171,1102847
48173,4711124
48175,331925
48177,4564778
48179,983422
48181,4988343
48183,6943296
48185,985254
48187,8255818
48189,1319159
48191,107253
48193,261011
48195,579479
48197,234310
48199,1302074
48201,364521545
48203,4335275
48205,832398
48207,340428
48209,8032681
48211,707542
48213,1815245
48215,20877561
48217,1020078
48219,2006348
48221,2237651
48223,1554291
48225,1010355
48227,8729519
48229,176054
48231,4527612
48233,5040417
48235,1546821
48237,543447
48239,635115
48241,962196
48243,84951
48245,16642537
48247,196335
48249,1318596
48251,7097713
48253,453833
48255,10226706
48257,3839827
48259,2042055
48261,327718
48263,275136
48265,2047217
48267,147483
48269,133042
48271,99624
48273,1092893
48275,208343
48277,2366855
48279,669596
48281,486785
48283,5617101
48285,1533509
48287,872852
48289,942062
48291,2172292
48293,1392704
48295,777467
48297,1877096
48299,729917
48301,8094120
48303,12845631
48305,370153
48307,312707
48309,12033420
48311,2381502
48313,775974
48315,229347
48317,14429263
48319,126202
48321,2076077
48323,1531716
48325,1057438
48327,52737
48329,28124795
48331,607642
48333,191994
48335,421300
48337,872436
48339,29279920
48341,2848619
48343,586942
48345,29917
48347,2729072
48349,1505984
48351,461476
48353,1007421
48355,18521152
48357,1151757
48359,381682
48361,3192213
48363,982128
48365,3977905
48367,4870705
48369,1124183
48371,3619704
48373,1283219
48375,8377702
48377,257428
48379,207558
48381,3869832
48383,5700871
48385,87091
48387,320123
48389,12789394
48391,424597
48393,696968
48395,2990283
48397,3946843
48399,327978
48401,2787320
48403,233075
48405,1122623
48407,384773
48409,2563857
48411,156523
48413,181707
48415,2180743
48417,260840
48419,1636511
48421,558284
48423,11130658
48425,1157448
48427,1448367
48429,514512
48431,287865
48433,178740
48435,275893
48437,545377
48439,112682577
48441,6558332
48443,171409
48445,639310
48447,167105
48449,1813817
48451,5941735
48453,129639407
48455,253751
48457,449659
48459,869180
48461,8381526
48463,887966
48465,1632065
48467,1149868
48469,3955443
48471,1995051
48473,2792552
48475,4761159
48477,1941836
48479,12832935
48481,1922003
48483,769506
48485,5509402
48487,663611
48489,606156
48491,24642479
48493,1157403
48495,2175872
48497,3409709
48499,1739620
48501,2612559
48503,922003
48505,831666
48507,953007
