48001,208,Anderson County 
48003,67,Andrews County 
48005,428,Angelina County 
48007,68,Aransas County 
48009,24,Archer County 
48011,8,Armstrong County 
48013,212,Atascosa County 
48015,58,Austin County 
48017,31,Bailey County 
48019,64,Bandera County 
48021,193,Bastrop County 
48023,24,Baylor County 
48025,136,Bee County 
48027,753,Bell County 
48029,5348,Bexar County 
48031,28,Blanco County 
48033,2,Borden County 
48035,59,Bosque County 
48037,354,Bowie County 
48039,876,Brazoria County 
48041,360,Brazos County 
48043,24,Brewster County 
48045,7,Briscoe County 
48047,47,Brooks County 
48049,176,Brown County 
48051,61,Burleson County 
48053,136,Burnet County 
48055,158,Caldwell County 
48057,39,Calhoun County 
48059,60,Callahan County 
48061,1842,Cameron County 
48063,68,Camp County 
48065,29,Carson County 
48067,163,Cass County 
48069,42,Castro County 
48071,59,Chambers County 
48073,229,Cherokee County 
48075,23,Childress County 
48077,26,Clay County 
48079,20,Cochran County 
48081,18,Coke County 
48083,59,Coleman County 
48085,1221,Collin County 
48087,11,Collingsworth County 
48089,56,Colorado County 
48091,481,Comal County 
48093,67,Comanche County 
48095,10,Concho County 
48097,110,Cooke County 
48099,170,Coryell County 
48101,9,Cottle County 
48103,19,Crane County 
48105,17,Crockett County 
48107,42,Crosby County 
48109,13,Culberson County 
48111,32,Dallam County 
48113,5785,Dallas County 
48115,82,Dawson County 
48117,100,Deaf Smith County 
48119,22,Delta County 
48121,1093,Denton County 
48123,86,DeWitt County 
48125,15,Dickens County 
48127,47,Dimmit County 
48129,18,Donley County 
48131,61,Duval County 
48133,90,Eastland County 
48135,577,Ector County 
48137,9,Edwards County 
48139,493,Ellis County 
48141,3161,El Paso County 
48143,109,Erath County 
48145,52,Falls County 
48147,154,Fannin County 
48149,95,Fayette County 
48151,19,Fisher County 
48153,40,Floyd County 
48155,10,Foard County 
48157,1006,Fort Bend County 
48159,37,Franklin County 
48161,74,Freestone County 
48163,78,Frio County 
48165,69,Gaines County 
48167,731,Galveston County 
48169,25,Garza County 
48171,84,Gillespie County 
48173,3,Glasscock County 
48175,28,Goliad County 
48177,89,Gonzales County 
48179,96,Gray County 
48181,534,Grayson County 
48183,591,Gregg County 
48185,110,Grimes County 
48187,348,Guadalupe County 
48189,205,Hale County 
48191,15,Hall County 
48193,29,Hamilton County 
48195,27,Hansford County 
48197,14,Hardeman County 
48199,216,Hardin County 
48201,9772,Harris County 
48203,192,Harrison County 
48205,2,Hartley County 
48207,37,Haskell County 
48209,363,Hays County 
48211,3,Hemphill County 
48213,357,Henderson County 
48215,3201,Hidalgo County 
48217,177,Hill County 
48219,141,Hockley County 
48221,217,Hood County 
48223,153,Hopkins County 
48225,90,Houston County 
48227,153,Howard County 
48229,14,Hudspeth County 
48231,317,Hunt County 
48233,110,Hutchinson County 
48235,2,Irion County 
48237,22,Jack County 
48239,52,Jackson County 
48241,165,Jasper County 
48243,6,Jeff Davis County 
48245,738,Jefferson County 
48247,20,Jim Hogg County 
48249,183,Jim Wells County 
48251,598,Johnson County 
48253,80,Jones County 
48255,58,Karnes County 
48257,455,Kaufman County 
48259,103,Kendall County 
48261,2,Kenedy County 
48263,3,Kent County 
48265,142,Kerr County 
48267,11,Kimble County 
48269,0,King County 
