FIPS_Code,Unemployed_2021
48001,1137
48003,519
48005,2316
48007,670
48009,171
48011,34
48013,1342
48015,765
48017,122
48019,492
48021,2052
48023,63
48025,796
48027,8586
48029,50953
48031,233
48033,14
48035,393
48037,2300
48039,12265
48041,5070
48043,194
48045,28
48047,228
48049,806
48051,424
48053,939
48055,996
48057,606
48059,291
48061,14129
48063,304
48065,117
48067,824
48069,121
48071,1687
48073,1334
48075,111
48077,242
48079,68
48081,66
48083,177
48085,26203
48087,49
48089,478
48091,3639
48093,281
48095,58
48097,989
48099,1406
48101,29
48103,151
48105,98
48107,134
48109,52
48111,104
48113,76437
48115,316
48117,329
48119,121
48121,23408
48123,462
48125,36
48127,330
48129,61
48131,439
48133,427
48135,6479
48137,56
48139,4513
48141,22603
48143,939
48145,357
48147,701
48149,518
48151,69
48153,144
48155,20
48157,24136
48159,233
48161,459
48163,456
48165,453
48167,10880
48169,99
48171,473
48173,25
48175,207
48177,418
48179,509
48181,3048
48183,3598
48185,743
48187,3716
48189,728
48191,60
48193,158
48195,80
48197,75
48199,1955
48201,146279
48203,1886
48205,60
48207,111
48209,5418
48211,73
48213,1990
48215,33489
48217,855
48219,635
48221,1508
48223,786
48225,519
48227,857
48229,107
48231,2342
48233,513
48235,38
48237,187
48239,361
48241,1232
48243,45
48245,9992
48247,162
48249,1547
48251,4202
48253,354
48255,355
48257,3557
48259,895
48261,11
48263,13
48265,1014
48267,80
48269,4
48271,71
48273,933
48275,69
48277,1363
48279,264
48281,454
48283,163
48285,394
48287,394
48289,436
48291,3140
48293,528
48295,58
48297,330
48299,440
48301,5
48303,7358
48305,122
48307,203
48309,6033
48311,17
48313,293
48315,290
48317,126
48319,86
48321,1352
48323,2934
48325,1107
48327,41
48329,5553
48331,597
48333,86
48335,165
48337,483
48339,16978
48341,375
48343,471
48345,23
48347,1564
48349,1222
48351,503
48353,342
48355,11200
48357,183
48359,33
48361,3093
48363,738
48365,646
48367,3227
48369,147
48371,431
48373,1480
48375,2372
48377,317
48379,251
48381,2689
48383,123
48385,69
48387,318
48389,493
48391,202
48393,17
48395,403
48397,2476
48399,194
48401,1321
48403,375
48405,243
48407,872
48409,2557
48411,104
48413,66
48415,404
48417,75
48419,627
48421,43
48423,5721
48425,230
48427,3996
48429,208
48431,30
48433,25
48435,95
48437,131
48439,58718
48441,2977
48443,15
48445,290
48447,29
48449,738
48451,2665
48453,31554
48455,393
48457,626
48459,1097
48461,92
48463,627
48465,1309
48467,1284
48469,2592
48471,1507
48473,1581
48475,412
48477,811
48479,7289
48481,1203
48483,128
48485,2962
48487,324
48489,715
48491,13822
48493,1119
48495,281
48497,1626
48499,1029
48501,251
48503,371
48505,536
48507,408
