FIPS,Unemployed_2021
12001,480794
12003,5269
12005,461
12007,3391
12009,459
12011,11944
12013,50735
12015,224
12017,3276
12019,2743
12021,3904
12023,6796
12027,1353
12029,577
12031,263
12033,22305
12035,6704
12037,2291
12039,183
12041,1048
12043,278
12045,217
12047,195
12049,254
12051,437
12053,977
12055,3812
12057,2094
12059,33235
12061,290
12063,3140
12065,801
12067,241
12069,113
12071,7570
12073,15215
12075,6606
12077,772
12079,112
12081,387
12083,7342
12085,7127
12086,2686
12087,73437
12089,1387
12091,1501
12093,3395
12095,740
12097,38293
12099,11573
12101,32198
12103,11088
12105,19820
12107,17786
12109,1670
12111,4436
12113,7490
12115,3021
12117,7553
12119,10133
12121,1888
12123,796
12125,418
12127,173
12129,12013
12131,501
12133,1223
